,ROI,Networks,t-value mean
96,7Networks_LH_Default_pCunPCC_2,DMN,0.4889406260261914
97,7Networks_LH_Default_pCunPCC_3,DMN,-0.12589311320370858
98,7Networks_LH_Default_pCunPCC_4,DMN,-0.06119016798890412
99,7Networks_LH_Default_PHC_1,DMN,0.5106661026875121
100,7Networks_RH_Vis_1,VIS,0.40364577576224836
101,7Networks_RH_Vis_2,VIS,0.6619269491385424
102,7Networks_RH_Vis_3,VIS,0.705977543983028
103,7Networks_RH_Vis_4,VIS,0.2367228129166344
104,7Networks_RH_Vis_5,VIS,0.6302631553666733
105,7Networks_RH_Vis_6,VIS,0.46499574103576535
106,7Networks_RH_Vis_7,VIS,0.6773157383765472
107,7Networks_RH_Vis_8,VIS,-0.10242545708650777
108,7Networks_RH_Vis_9,VIS,0.190202946262971
109,7Networks_RH_Vis_10,VIS,0.5628460856122823
110,7Networks_RH_Vis_11,VIS,0.4366776910136498
111,7Networks_RH_Vis_12,VIS,0.35954549357163706
112,7Networks_RH_Vis_13,VIS,0.4209836473777325
113,7Networks_RH_Vis_14,VIS,0.5424229151070876
114,7Networks_RH_Vis_15,VIS,0.04333617186911643
115,7Networks_RH_SomMot_1,SOM,0.26231888742603787
116,7Networks_RH_SomMot_2,SOM,0.3625083434533181
117,7Networks_RH_SomMot_3,SOM,0.2715871479788831
118,7Networks_RH_SomMot_4,SOM,0.3131638957727853
119,7Networks_RH_SomMot_5,SOM,0.0565997090624875
120,7Networks_RH_SomMot_6,SOM,0.0995061558892853
121,7Networks_RH_SomMot_7,SOM,-0.028432198982523468
122,7Networks_RH_SomMot_8,SOM,0.16403943961461992
123,7Networks_RH_SomMot_9,SOM,0.05370776627405482
124,7Networks_RH_SomMot_10,SOM,-0.05775077668202299
125,7Networks_RH_SomMot_11,SOM,-0.10639176660753497
126,7Networks_RH_SomMot_12,SOM,0.006455676225187593
127,7Networks_RH_SomMot_13,SOM,0.006603186643779197
128,7Networks_RH_SomMot_14,SOM,-0.039121123279133425
129,7Networks_RH_SomMot_15,SOM,-0.02301932537885286
130,7Networks_RH_SomMot_16,SOM,-0.01594335365810448
131,7Networks_RH_SomMot_17,SOM,0.038522882496547145
132,7Networks_RH_SomMot_18,SOM,-0.19940337307064238
