,ROI,Networks,t-value mean
96,7Networks_LH_Default_pCunPCC_2,DMN,0.02145866364345368
97,7Networks_LH_Default_pCunPCC_3,DMN,0.020905296125498688
98,7Networks_LH_Default_pCunPCC_4,DMN,0.39800743674208755
99,7Networks_LH_Default_PHC_1,DMN,-0.2255795983986152
100,7Networks_RH_Vis_1,VIS,-0.19592368667201387
101,7Networks_RH_Vis_2,VIS,0.11857958260332221
102,7Networks_RH_Vis_3,VIS,-0.2916469435486874
103,7Networks_RH_Vis_4,VIS,-0.12956030250473147
104,7Networks_RH_Vis_5,VIS,-0.04434371505826722
105,7Networks_RH_Vis_6,VIS,-0.08390872233466327
106,7Networks_RH_Vis_7,VIS,0.07340580791528228
107,7Networks_RH_Vis_8,VIS,-0.3666742907335181
108,7Networks_RH_Vis_9,VIS,-0.0075832646493477415
109,7Networks_RH_Vis_10,VIS,0.18572898756323433
110,7Networks_RH_Vis_11,VIS,0.11382963088119903
111,7Networks_RH_Vis_12,VIS,0.004884344900040408
112,7Networks_RH_Vis_13,VIS,0.36421973720326783
113,7Networks_RH_Vis_14,VIS,0.09893724637215583
114,7Networks_RH_Vis_15,VIS,0.2671963166122667
115,7Networks_RH_SomMot_1,SOM,0.22471088872989253
116,7Networks_RH_SomMot_2,SOM,0.050449700060551994
117,7Networks_RH_SomMot_3,SOM,0.6178951744947285
118,7Networks_RH_SomMot_4,SOM,0.4230107305840897
119,7Networks_RH_SomMot_5,SOM,0.38748381368345297
120,7Networks_RH_SomMot_6,SOM,0.5318219716625391
121,7Networks_RH_SomMot_7,SOM,0.5027944833738182
122,7Networks_RH_SomMot_8,SOM,0.4672918350134722
123,7Networks_RH_SomMot_9,SOM,0.4176243996813184
124,7Networks_RH_SomMot_10,SOM,0.30476478386703676
125,7Networks_RH_SomMot_11,SOM,0.10446021677977281
126,7Networks_RH_SomMot_12,SOM,0.2419678528154903
127,7Networks_RH_SomMot_13,SOM,-0.14281505187657423
128,7Networks_RH_SomMot_14,SOM,0.16159120185022927
129,7Networks_RH_SomMot_15,SOM,-0.08265797966344994
130,7Networks_RH_SomMot_16,SOM,-0.12585615693257682
131,7Networks_RH_SomMot_17,SOM,-0.13544916389702943
132,7Networks_RH_SomMot_18,SOM,-0.6296964714194542
133,7Networks_RH_SomMot_19,SOM,-0.0700204697780392
134,7Networks_RH_DorsAttn_Post_1,DAN,0.05695615724685936
135,7Networks_RH_DorsAttn_Post_2,DAN,0.40053597979921124
136,7Networks_RH_DorsAttn_Post_3,DAN,0.35043162276393225
137,7Networks_RH_DorsAttn_Post_4,DAN,-0.3336010004026283
138,7Networks_RH_DorsAttn_Post_5,DAN,0.1003043344862385
139,7Networks_RH_DorsAttn_Post_6,DAN,0.0007888774800258468
140,7Networks_RH_DorsAttn_Post_7,DAN,-0.21008957829737868
141,7Networks_RH_DorsAttn_Post_8,DAN,0.0643757931714405
142,7Networks_RH_DorsAttn_Post_9,DAN,-0.047508713821611086
143,7Networks_RH_DorsAttn_Post_10,DAN,-0.16049891476067976
144,7Networks_RH_DorsAttn_FEF_1,DAN,-0.39736040063351713
145,7Networks_RH_DorsAttn_FEF_2,DAN,0.17948601862886626
146,7Networks_RH_DorsAttn_PrCv_1,DAN,-0.19112638742712348
147,7Networks_RH_SalVentAttn_TempOccPar_1,SAL,0.005766113002282642
148,7Networks_RH_SalVentAttn_TempOccPar_2,SAL,-0.1468453445150564
149,7Networks_RH_SalVentAttn_TempOccPar_3,SAL,0.03936842061413555
150,7Networks_RH_SalVentAttn_PrC_1,SAL,-0.2839542069367019
151,7Networks_RH_SalVentAttn_FrOperIns_1,SAL,0.19611713292504582
152,7Networks_RH_SalVentAttn_FrOperIns_2,SAL,0.11421581657120036
153,7Networks_RH_SalVentAttn_FrOperIns_3,SAL,0.06190771777362988
154,7Networks_RH_SalVentAttn_FrOperIns_4,SAL,0.16129908592374426
155,7Networks_RH_SalVentAttn_Med_1,SAL,0.2628123745940787
156,7Networks_RH_SalVentAttn_Med_2,SAL,-0.13634023708215193
157,7Networks_RH_SalVentAttn_Med_3,SAL,-0.03249303127969865
158,7Networks_RH_Limbic_OFC_1,LIM,-0.5301462819849917
159,7Networks_RH_Limbic_OFC_2,LIM,0.49162357998054373
160,7Networks_RH_Limbic_OFC_3,LIM,0.03726068626865818
161,7Networks_RH_Limbic_TempPole_1,LIM,-0.399618045118805
162,7Networks_RH_Limbic_TempPole_2,LIM,-0.38400001957373514
163,7Networks_RH_Limbic_TempPole_3,LIM,-0.14091561625001695
164,7Networks_RH_Cont_Par_1,FPN,-0.5971311211519865
165,7Networks_RH_Cont_Par_2,FPN,-0.40266303367151
166,7Networks_RH_Cont_Par_3,FPN,-0.2441667182140793
167,7Networks_RH_Cont_Temp_1,FPN,-0.2520943470818343
168,7Networks_RH_Cont_PFCv_1,FPN,0.15648695589131875
169,7Networks_RH_Cont_PFCl_1,FPN,-0.4427600634095865
170,7Networks_RH_Cont_PFCl_2,FPN,-0.3420869801656576
171,7Networks_RH_Cont_PFCl_3,FPN,-0.3044217355155723
172,7Networks_RH_Cont_PFCl_4,FPN,-0.22717435614336087
173,7Networks_RH_Cont_PFCl_5,FPN,-0.28843885786134094
174,7Networks_RH_Cont_PFCl_6,FPN,-0.5847380068194377
175,7Networks_RH_Cont_PFCl_7,FPN,0.04602701077302882
176,7Networks_RH_Cont_pCun_1,FPN,0.3341625132302807
177,7Networks_RH_Cont_Cing_1,FPN,0.3595164185071612
178,7Networks_RH_Cont_Cing_2,FPN,0.4712567749115168
179,7Networks_RH_Cont_PFCmp_1,FPN,-0.05030728455453472
180,7Networks_RH_Cont_PFCmp_2,FPN,-0.14423652618308286
181,7Networks_RH_Default_Par_1,DMN,0.29074711992302754
182,7Networks_RH_Default_Par_2,DMN,0.09113084785348033
183,7Networks_RH_Default_Par_3,DMN,0.047650343616355506
184,7Networks_RH_Default_Temp_1,DMN,0.07294751532050694
185,7Networks_RH_Default_Temp_2,DMN,-0.6834552300246879
186,7Networks_RH_Default_Temp_3,DMN,0.16465393247628554
187,7Networks_RH_Default_Temp_4,DMN,-0.48218108635643603
188,7Networks_RH_Default_Temp_5,DMN,-0.4719628944865861
189,7Networks_RH_Default_PFCv_1,DMN,-0.009903007107824496
190,7Networks_RH_Default_PFCdPFCm_1,DMN,-0.17694940941148346
191,7Networks_RH_Default_PFCdPFCm_2,DMN,-0.13388752675959603
192,7Networks_RH_Default_PFCdPFCm_3,DMN,-0.24934695008344449
193,7Networks_RH_Default_PFCdPFCm_4,DMN,-0.1286582940193921
194,7Networks_RH_Default_PFCdPFCm_5,DMN,0.1444256035473514
195,7Networks_RH_Default_PFCdPFCm_6,DMN,-0.05832093672993778
196,7Networks_RH_Default_PFCdPFCm_7,DMN,0.25298019533281474
197,7Networks_RH_Default_pCunPCC_1,DMN,0.09945598415752534
198,7Networks_RH_Default_pCunPCC_2,DMN,0.09582356662241848
199,7Networks_RH_Default_pCunPCC_3,DMN,0.30392101498416185
200,Subcortical_1,SUB,-0.10485050823366328
201,Subcortical_2,SUB,-0.15203732170173004
202,Subcortical_3,SUB,-0.3296976186311207
203,Subcortical_4,SUB,-0.2588693125663032
204,Subcortical_5,SUB,-0.7705347510258546
205,Subcortical_6,SUB,-0.45504875696216707
206,Subcortical_7,SUB,-0.24841686818798087
207,Subcortical_8,SUB,-0.43759240443978487
208,Subcortical_9,SUB,-0.6082126659424922
209,Subcortical_10,SUB,-0.3187522008753382
210,Subcortical_11,SUB,0.22173573487730247
211,Subcortical_12,SUB,-0.13880232991268232
212,Subcortical_13,SUB,0.05755586591704791
213,Subcortical_14,SUB,0.41615927495145266
214,Subcortical_15,SUB,-0.17497032684224897
215,Subcortical_16,SUB,-0.6463725264868981
216,Subcortical_17,SUB,0.20745696574144717
217,Subcortical_18,SUB,-0.48405052314683344
218,Subcortical_19,SUB,-0.2500472376704728
219,Subcortical_20,SUB,-0.04715678673882986
220,Subcortical_21,SUB,-0.5961336220073337
221,Subcortical_22,SUB,-0.5031403731938333
222,Subcortical_23,SUB,-0.35763223793350574
223,Subcortical_24,SUB,-0.6011863361824842
224,Subcortical_25,SUB,-0.5295063007318991
225,Subcortical_26,SUB,-0.8869681309475518
226,Subcortical_27,SUB,-0.23634224662776446
227,Subcortical_28,SUB,-0.04953920906440977
228,Subcortical_29,SUB,0.13747316223832862
229,Subcortical_30,SUB,0.2538853292017215
230,Subcortical_31,SUB,-0.20894339212419386
231,Subcortical_32,SUB,-0.513971361467772
